country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units
Australia,BOM,WA,9,-32.34,116.18,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar
Temperature,DNI,GHI,DHI,Wind Direction,Wind Speed,,,,,,,,,,,
16.6,0,207,207,188.801909190892,11.9146708313027,,,,,,,,,,,
17.5,0,291,291,191.147940484838,11.2589137672091,,,,,,,,,,,
18.2,0,366,366,179.47910082786,8.46605548198252,,,,,,,,,,,
18.6,2,470,468,180.533348015128,6.55211564995564,,,,,,,,,,,
19,82,642,565,180.141416000829,5.25001599124394,,,,,,,,,,,
19.2,315,773,489,168.69006752598,3.82426463519459,,,,,,,,,,,
19.4,753,848,225,158.280222574381,3.37776258185268,,,,,,,,,,,
19.6,751,735,179,146.63590290054,3.15850236962508,,,,,,,,,,,
19.3,241,448,286,116.999461699874,3.05729643675637,,,,,,,,,,,
18.7,437,322,169,115.41748569916,3.84639879436337,,,,,,,,,,,
18.1,520,193,61,122.306656438404,4.7019466347187,,,,,,,,,,,
17.2,156,44,18,126.607659468826,5.26209717145022,,,,,,,,,,,
16.2,0,0,0,100.14681669766,5.43407545244372,,,,,,,,,,,
15.2,0,0,0,92.6657111833032,5.76920087101939,,,,,,,,,,,
14.6,0,0,0,144.444435733537,9.90276146824943,,,,,,,,,,,
14.2,0,0,0,154.470419790233,12.9208485290692,,,,,,,,,,,
13.8,0,0,0,161.195716622633,14.1331538107099,,,,,,,,,,,
13.5,0,0,0,172.132336042931,14.9894008326566,,,,,,,,,,,
13.2,0,0,0,178.227794446835,17.1537610482574,,,,,,,,,,,
12.9,0,0,0,183.170538090844,17.7634515506244,,,,,,,,,,,
13.1,5,1,1,185.118122155079,19.326275429323,,,,,,,,,,,
13.5,265,67,28,188.671879296841,18.8658093191054,,,,,,,,,,,
14,575,225,64,193.656407620867,18.6562286963568,,,,,,,,,,,
15.2,750,425,90,197.927835748285,18.8184451180057,,,,,,,,,,,
17,839,620,110,203.602791768491,17.9872150870838,,,,,,,,,,,
18.8,722,745,212,201.872358901081,16.349126451721,,,,,,,,,,,
19.7,858,902,161,185.967480794168,12.0309003107218,,,,,,,,,,,
20,989,1012,102,178.206099925523,10.2985005815728,,,,,,,,,,,
20.2,996,1037,101,180.397056876428,9.34930860732024,,,,,,,,,,,
20.4,991,1003,98,190.427993754053,7.73988046328572,,,,,,,,,,,
20.5,972,913,95,203.158213055477,6.38988126878385,,,,,,,,,,,
20.6,937,773,90,210.853939109579,5.38744481189723,,,,,,,,,,,
20.2,875,595,83,214.079899495191,3.16930627147974,,,,,,,,,,,
19.6,771,396,72,198.027890026496,2.10325735317554,,,,,,,,,,,
18.8,577,197,52,146.138043069225,1.9725344385779,,,,,,,,,,,
17.9,178,46,16,130.196201140597,3.89360166586319,,,,,,,,,,,
16.7,0,0,0,139.5854193732,6.7482765826568,,,,,,,,,,,
15.6,0,0,0,152.931031652022,11.3944964315212,,,,,,,,,,,
14.9,0,0,0,158.252707246223,14.6920099795499,,,,,,,,,,,
14.7,0,0,0,161.279641788593,17.4168356326329,,,,,,,,,,,
14.4,0,0,0,180.21612417592,20.6114083102946,,,,,,,,,,,
14.3,0,0,0,191.132787609561,22.8165314707097,,,,,,,,,,,
14.2,0,0,0,198.994848336868,22.965443101601,,,,,,,,,,,
14.1,0,0,0,205.027333983178,22.8757801590154,,,,,,,,,,,
14.3,5,1,1,205.385723582078,20.6341459201712,,,,,,,,,,,
14.7,244,65,30,210.537383610713,20.58275622938,,,,,,,,,,,
15.1,501,213,77,216.70679951039,20.4461277017557,,,,,,,,,,,
16.2,207,224,157,226.963989663881,20.0516842024453,,,,,,,,,,,
17.6,33,362,340,238.670819825781,19.3628749800408,,,,,,,,,,,
19.1,19,494,481,248.017827830492,17.845385646936,,,,,,,,,,,
19.8,6,529,524,255.488426969275,13.122163821519,,,,,,,,,,,
20,325,754,449,282.979677591191,9.63411149636786,,,,,,,,,,,
20.1,472,866,422,320.049713564709,10.3173428149293,,,,,,,,,,,
20.1,810,945,211,334.090331413536,8.58214730414209,,,,,,,,,,,
20.2,998,923,84,344.114913110777,7.2596914734547,,,,,,,,,,,
20.2,965,783,80,13.1417683250502,7.69700132169391,,,,,,,,,,,
19.9,909,604,73,33.6119814933267,9.6161450786191,,,,,,,,,,,
19.3,810,403,64,43.6334746142776,9.58207919839411,,,,,,,,,,,
18.7,615,202,47,49.8321825766899,7.67123887196329,,,,,,,,,,,
18,191,47,15,47.0567641211633,6.71267633962996,,,,,,,,,,,
17.2,0,0,0,56.6723783560293,6.58254897864306,,,,,,,,,,,
16.4,0,0,0,54.9107807622328,8.28554784969983,,,,,,,,,,,
16.1,0,0,0,53.5044292327306,8.81938073658163,,,,,,,,,,,
16.1,0,0,0,61.3863567745992,11.0612701619982,,,,,,,,,,,
16.1,0,0,0,71.0758394825317,11.8283470520232,,,,,,,,,,,
16.1,0,0,0,85.7565500797444,9.2708351557953,,,,,,,,,,,
16.2,0,0,0,94.8557224996583,7.62645540013525,,,,,,,,,,,
16.2,0,0,0,77.9835747709561,7.31111740287734,,,,,,,,,,,
16.3,0,0,0,55.9411094396086,7.25797345771906,,,,,,,,,,,
16.6,0,7,7,66.5162827994926,8.16731216356169,,,,,,,,,,,
16.8,0,14,14,51.8665633951514,9.25012586029366,,,,,,,,,,,
17.1,0,18,18,68.1682037741721,9.62062604563375,,,,,,,,,,,
17.4,0,22,22,69.999951481139,9.03659763514489,,,,,,,,,,,
17.7,0,116,116,70.1103901279295,7.46268794061944,,,,,,,,,,,
17.8,0,100,100,69.7238620127103,4.83871268775354,,,,,,,,,,,
17.8,0,54,54,51.7737163246932,4.26323662282581,,,,,,,,,,,
17.7,0,50,50,37.8057890564604,5.64632987255136,,,,,,,,,,,
17.7,0,69,69,35.5951678214652,6.9756543824125,,,,,,,,,,,
17.7,0,70,70,33.1741474256721,8.35761786555879,,,,,,,,,,,
